rank,frame_path,grain_score,manual_keep,notes
268,data\selected_frames\nosferatu_non_title_cards\nosferatu_000280.png,0.003918926231563091,,
269,data\selected_frames\nosferatu_non_title_cards\nosferatu_000410.png,0.003903232282027602,,
270,data\selected_frames\nosferatu_non_title_cards\nosferatu_000570.png,0.003861353499814868,,
271,data\selected_frames\nosferatu_non_title_cards\nosferatu_000253.png,0.0038458164781332016,,
272,data\selected_frames\nosferatu_non_title_cards\nosferatu_000246.png,0.003845379687845707,,
273,data\selected_frames\nosferatu_non_title_cards\nosferatu_000173.png,0.0038386571686714888,,
274,data\selected_frames\nosferatu_non_title_cards\nosferatu_000423.png,0.003835303708910942,,
275,data\selected_frames\nosferatu_non_title_cards\nosferatu_000212.png,0.00383330718614161,,
276,data\selected_frames\nosferatu_non_title_cards\nosferatu_000157.png,0.0038316186983138323,,
277,data\selected_frames\nosferatu_non_title_cards\nosferatu_000104.png,0.003829158842563629,,
278,data\selected_frames\nosferatu_non_title_cards\nosferatu_000579.png,0.003824173705652356,,
279,data\selected_frames\nosferatu_non_title_cards\nosferatu_000519.png,0.003813703777268529,,
280,data\selected_frames\nosferatu_non_title_cards\nosferatu_000420.png,0.0037700210232287645,,
281,data\selected_frames\nosferatu_non_title_cards\nosferatu_000344.png,0.0037550702691078186,,
282,data\selected_frames\nosferatu_non_title_cards\nosferatu_000400.png,0.0037455176934599876,,
283,data\selected_frames\nosferatu_non_title_cards\nosferatu_000421.png,0.0037213272880762815,,
284,data\selected_frames\nosferatu_non_title_cards\nosferatu_000165.png,0.003714555175974965,,
285,data\selected_frames\nosferatu_non_title_cards\nosferatu_000163.png,0.0037103283684700727,,
286,data\selected_frames\nosferatu_non_title_cards\nosferatu_000164.png,0.003687448799610138,,
287,data\selected_frames\nosferatu_non_title_cards\nosferatu_000408.png,0.0036845412105321884,,
288,data\selected_frames\nosferatu_non_title_cards\nosferatu_000422.png,0.00366898812353611,,
289,data\selected_frames\nosferatu_non_title_cards\nosferatu_000120.png,0.0036474515218287706,,
290,data\selected_frames\nosferatu_non_title_cards\nosferatu_000156.png,0.0036429213359951973,,
291,data\selected_frames\nosferatu_non_title_cards\nosferatu_000521.png,0.003637181594967842,,
292,data\selected_frames\nosferatu_non_title_cards\nosferatu_000076.png,0.003618638264015317,,
